N_itens, Tipo de vetor, Algoritmo, Comparacoes, Comparacoes/N, Operacoes, Operacoes/N, Duração (sec)
50000, aleatorio, binary_search_sort, 2342843, 46.8569, 50000, 1.0000, 0.3117
100000, ordenado, bubble_sort, 4999950000, 49999.5000, 0, 0.0000, 319.2589
100000, ordenado, selection_sort, 5000150000, 50001.5000, 100000, 1.0000, 261.8765
100000, ordenado, insertion_sort, 4999950000, 49999.5000, 0, 0.0000, 313.1272
100000, ordenado, binary_search_sort, 10000200001, 100002.0000, 100000, 1.0000, 1466.0681
100000, reverso, bubble_sort, 4999950000, 49999.5000, 14999850000, 149998.5000, 824.5335
100000, reverso, selection_sort, 5000150000, 50001.5000, 100000, 1.0000, 252.2170
100000, reverso, insertion_sort, 4999950000, 49999.5000, 299997, 3.0000, 313.8170
100000, reverso, binary_search_sort, 15000150001, 150001.5000, 100000, 1.0000, 1668.7625
100000, semiordenado, bubble_sort, 4999950000, 49999.5000, 933388122, 9333.8812, 359.9124
100000, semiordenado, selection_sort, 5000150000, 50001.5000, 100000, 1.0000, 261.8871
100000, semiordenado, insertion_sort, 4999950000, 49999.5000, 299955, 2.9996, 324.5635
100000, semiordenado, binary_search_sort, 21601155, 216.0115, 100000, 1.0000, 2.5216
100000, aleatorio, bubble_sort, 4999950000, 49999.5000, 7487724720, 74877.2472, 670.5475
100000, aleatorio, selection_sort, 5000150000, 50001.5000, 100000, 1.0000, 273.0333
100000, aleatorio, insertion_sort, 4999950000, 49999.5000, 299952, 2.9995, 356.5749
100000, aleatorio, binary_search_sort, 5650795, 56.5080, 100000, 1.0000, 0.9552
